prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,date_published
STRIPED BASS,BLUEFISH,20026498311we,1169220021102111777,0,C,5,0,2,1,11,11,Y,60,120,,3,1169220021102001,1777,1,3,1,0,0,0,,,4,9,9,4,1,6,2002,1169220021102,11,we,,,1169220021102001,2,,,8,1,,NEW LONDON,20030410,8,8,1,0,,,8835250101,8835020102,1,,8,1230,06385,27086.516228,20026498311we,,0,1169220021102001,05/04/2021
,STRIPED BASS,20026498311wd,116922002110511750,0,C,5,0,2,1,11,11,Y,6,6,,0.5,1169220021105001,750,5,3,0,0,0,0,,,4,9,9,4,1,6,2002,1169220021105,11,wd,,,1169220021105001,,,,8,1,,NEW LONDON,20030410,8,8,1,5,,,8835020102,,1,,8,1310,06370,30132.984508,20026498311wd,,0,1169220021105001,05/04/2021
,BLUEFISH,20026498311wd,11692200211079218,,C,5,0,2,1,9,9,Y,1,1,,0.5,1169220021107001,218,1,3,0,0,0,0,,,4,9,9,4,1,6,2002,1169220021107,11,wd,,,1169220021107001,,,,8,1,,NEW HAVEN,20030410,8,8,1,1,,,8835250101,,1,,8,1620,99998,10220.986311,20026498311wd,,0,1169220021107001,05/04/2021
,,20026498311wd,116922002110811627,2,C,5,0,2,1,11,3,Y,6,12,,1,1169220021108001,627,5,3,0,0,0,0,,,4,9,9,4,1,6,2002,1169220021108,11,wd,,,1169220021108001,,,,8,1,,HARTFORD,20030410,8,8,1,5,,,,,1,,8,1135,06416,10220.986311,20026498311wd,,0,1169220021108001,05/04/2021
,HICKORY SHAD,20026498311wd,116922002110811627,0,C,5,0,2,1,11,11,Y,15,25,,3,1169220021108002,627,5,3,2,0,0,0,,,4,9,9,4,1,6,2002,1169220021108,11,wd,,,1169220021108002,2,,,8,1,,NEW LONDON,20030410,8,8,1,5,,,8747010103,,1,,8,1220,06382,10220.986311,20026498311wd,,0,1169220021108002,05/04/2021
,HICKORY SHAD,20026498311wd,116922002110811627,0,C,5,0,2,1,11,3,Y,5,5,,3.5,1169220021108003,627,5,3,1,0,0,0,,,4,9,9,4,1,6,2002,1169220021108,11,wd,,,1169220021108003,2,,,8,1,,HARTFORD,20030410,8,8,1,5,,,8747010103,,1,,8,1345,06118,10220.986311,20026498311wd,,0,1169220021108003,05/04/2021
,STRIPED BASS,20026498311wd,116922002110811627,2,C,5,0,2,1,11,3,Y,5,5,,1,1169220021108004,627,5,3,0,0,0,0,,,4,9,9,4,1,6,2002,1169220021108,11,wd,,,1169220021108004,,,,8,1,,HARTFORD,20030410,8,8,1,5,,,8835020102,,1,,8,1355,06354,10220.986311,20026498311wd,,0,1169220021108004,05/04/2021
,STRIPED BASS,20026498311wd,116922002110811627,2,C,5,0,2,1,11,11,Y,5,5,,1,1169220021108005,627,5,3,0,0,0,0,,,4,9,9,4,1,6,2002,1169220021108,11,wd,,,1169220021108005,,,,8,1,,NEW LONDON,20030410,8,8,1,5,,,8835020102,,1,,8,1356,06355,10220.986311,20026498311wd,,0,1169220021108005,05/04/2021
,WINTER FLOUNDER,20026498311wd,116922002110811627,,C,5,0,2,1,11,11,Y,40,120,,4,1169220021108006,627,3,3,0,0,0,0,,,4,9,9,4,1,6,2002,1169220021108,11,wd,,,1169220021108006,,,,8,1,,NEW LONDON,20030410,8,8,1,3,,,8857042001,,1,,8,1500,06415,10220.986311,20026498311wd,,0,1169220021108006,05/04/2021
,TAUTOG,20026498611we,1169220021109163,,C,5,6,2,1,1,61,O,2,6,1,5,1169220021109001,63,6,6,0,0,0,0,,24,5,9,36,4,9,6,2002,1169220021109,11,we,,,1169220021109001,,,,8,2,,NEW YORK,20030410,8,8,1,6,,,8839010101,,9,,8,1325,99999,0,20026498611we,,0,1169220021109001,05/04/2021
